TRUE,predict
1.778151274,1.731031179
1.342422724,1.327673316
1.361727834,1.328070641
1.505149961,1.407998323
0.778151274,1.002803087
1.477121234,1.39720428
1.113943338,0.811002135
1.361727834,1.45345974
1.30103004,1.340046287
1.30103004,1.403598428
1.278753638,1.328945756
0.60206002,0.88998872
1.431363821,1.415462494
1.447157979,1.354673147
1.653212547,1.626367331
0.90309,0.818469644
0.90309,0.912532747
1.748188019,1.734567642
0.477121264,0.826008439
0.60206002,0.870590806
1.681241274,1.594823956
1.56820178,1.530977607
1.342422724,1.388603687
1.633468509,1.580619693
1.763427973,1.890993357
1.875061274,1.977859497
1.982271194,2.001504898
1.477121234,1.459306598
1.255272508,1.363932133
1.863322854,1.799612164
1.505149961,1.523615956
2.064457893,1.960564613
1.30103004,1.313717842
1.342422724,1.198554754
1.959041357,1.888264179
1.278753638,1.354328394
1.431363821,1.715416551
2.220108032,2.224745274
1.342422724,1.236348748
1.079181194,1.11891067
1.69896996,1.597941399
1.447157979,1.352442145
1.690196037,1.808217168
1.477121234,1.446447372
1.838849068,1.774687171
1.579783559,1.559413314
1.591064572,1.518407583
1.477121234,1.586233616
2.049217939,1.959069371
1.707570195,1.741679907
2.309630156,2.311877251
1.857332468,1.86849463
1.763427973,1.769505262
1.20412004,1.165216446
1.643452644,1.621957541
1.69896996,1.67095089
1.491361737,1.440026641
0.60206002,0.588939667
1,0.951170444
1.875061274,1.903818727
0.954242527,1.641091943
1,0.990666568
0,0.090611935
1.845098019,1.816884398
1.342422724,1.349125028
1.869231701,1.827948451
1.869231701,1.851011992
1.30103004,1.33430028
1.77085197,1.769388556
1.732393742,1.788848042
1.924279332,1.902440429
1.505149961,1.476585031
2.130333662,2.023762465
1.755874872,1.681699514
1.959041357,1.943068027
1.934498429,2.025167704
2.045322895,2.009892225
1.924279332,1.723620534
1.968482971,1.877087116
1.732393742,1.699829817
1.56820178,1.51760304
1.681241274,1.494876385
1.707570195,1.684840798
1.954242468,1.927770615
1.954242468,1.987854481
0.69897002,0.868950546
1.662757874,1.653548598
2.021189213,2.051425934
1.60205996,1.665930152
2.068185806,2.080112219
2.012837172,2.107794046
1.716003299,1.8320297
1.414973378,1.348963737
1.919078112,1.802202463
1.763427973,1.760355711
0.69897002,0.851831317
1.322219253,1.507911563
1.690196037,1.752944827
1.690196037,1.60433948
1.913813829,1.882093906
2.041392803,2.029031277
1.875061274,1.855981588
1.041392684,0.888934374
2.193124533,2.053911686
2.037426472,2.110014439
2.017033339,2.087466955
1.716003299,1.795530796
1.278753638,1.257107019
2.012837172,1.934360862
1.146128058,1.046000481
1.041392684,1.134835124
1.77085197,1.83211565
1.826074839,1.931411028
1.447157979,1.401266575
1.986771703,1.974822402
2.195899725,2.06390214
1.977723598,1.999792695
1.60205996,1.313111305
1.380211234,1.727543831
1.544068098,1.558485627
1,1.227486134
1.230448961,1.194352031
1.146128058,1.183005929
1.518513918,1.494407415
1.20412004,0.91411984
1.361727834,1.180503607
